fuelType,rating,renterTripsTaken,reviewCount,city,state,owner_id,dailyRate,make,model,type,year
ELECTRIC,5,13,12,Seattle,WA,12847615,135,Tesla,Model X,suv,2019
ELECTRIC,5,2,1,Tijeras,NM,15621242,190,Tesla,Model X,suv,2018
HYBRID,4.92,28,24,Albuquerque,NM,10199256,35,Toyota,Prius,car,2012
GASOLINE,5,21,20,Albuquerque,NM,9365496,75,Ford,Mustang,car,2018
GASOLINE,5,3,1,Albuquerque,NM,3553565,47,Chrysler,Sebring,car,2010
GASOLINE,5,13,12,Albuquerque,NM,7815747,58,Mercedes-Benz,GL-Class,suv,2012
GASOLINE,4.42,13,12,Albuquerque,NM,3112016,42,GMC,Yukon XL,suv,2005
GASOLINE,4.9,12,10,Albuquerque,NM,9536762,117,Ford,Expedition,suv,2018
GASOLINE,5,1,1,Albuquerque,NM,14893743,102,Ford,Focus RS,car,2016
GASOLINE,4.76,22,17,Albuquerque,NM,11389136,49,Ford,EcoSport,suv,2018
GASOLINE,4.95,23,22,Albuquerque,NM,9365496,75,Ford,F-150,truck,2012
HYBRID,4.7,11,10,Albuquerque,NM,10199256,35,Toyota,Prius,car,2012
GASOLINE,5,11,7,Albuquerque,NM,9346980,88,Volkswagen,Tiguan,suv,2018
HYBRID,4.92,51,38,Albuquerque,NM,3070318,42,Toyota,Avalon Hybrid,car,2013
GASOLINE,4.88,61,56,Albuquerque,NM,3092621,42,Saab,3-Sep,car,2011
GASOLINE,4.5,2,2,Albuquerque,NM,14428787,65,Ram,CV Tradesman,minivan,2014
GASOLINE,,0,0,Albuquerque,NM,1889102,42,Jeep,Cherokee,suv,2018
GASOLINE,5,23,20,Albuquerque,NM,3092621,116,Porsche,Cayman,car,2007
GASOLINE,4.67,5,3,Albuquerque,NM,4112693,119,Jeep,Wrangler JK,suv,2018
GASOLINE,5,24,19,Santa Fe,NM,1603416,80,Ford,Mustang,car,2019
GASOLINE,4.5,4,2,Albuquerque,NM,8860306,97,Ford,Explorer,suv,2012
GASOLINE,4.92,70,52,Albuquerque,NM,911080,41,Nissan,Rogue,suv,2016
ELECTRIC,5,3,1,Albuquerque,NM,1269071,171,Tesla,Model S,car,2015
GASOLINE,4.72,20,18,Santa Fe,NM,6744409,50,Dodge,Charger,car,2014
GASOLINE,4.85,61,46,Santa Fe,NM,1603416,49,Volkswagen,Jetta,car,2019
GASOLINE,4.82,18,11,Santa Fe,NM,6744409,39,Hyundai,Sonata,car,2016
GASOLINE,4.8,63,54,Rio Rancho,NM,293620,28,Chevrolet,Impala,car,2010
GASOLINE,5,21,19,Albuquerque,NM,2565503,32,Hyundai,Accent,car,2015
GASOLINE,5,21,20,Albuquerque,NM,2565503,28,Ford,Focus,car,2010
GASOLINE,,0,0,Grovetown,GA,14680097,125,GMC,Yukon XL,suv,2018
GASOLINE,5,3,3,Evans,GA,7697716,112,Toyota,Sequoia,suv,2016
GASOLINE,5,21,19,Augusta,GA,11515981,87,Mercedes-Benz,GLC-Class,suv,2016
GASOLINE,5,9,8,Augusta,GA,11515981,47,Ford,Fiesta,car,2019
GASOLINE,5,9,8,Augusta,GA,14931796,42,Dodge,Journey,suv,2019
HYBRID,5,5,3,Evans,GA,9709583,130,Lexus,ES 300h,car,2015
GASOLINE,5,1,1,Augusta,GA,15162374,115,Cadillac,ATS,car,2015
GASOLINE,4.5,3,2,Beech Island,SC,2842845,85,Lexus,IS 350,car,2015
GASOLINE,4.58,27,19,East Point,GA,7697843,24,smart,fortwo,car,2010
GASOLINE,5,52,44,Atlanta,GA,6025007,144,Land Rover,Range Rover,suv,2016
ELECTRIC,4.83,8,6,Doraville,GA,53029,146,Tesla,Model 3,car,2020
GASOLINE,4.94,34,33,East Point,GA,7868475,125,Porsche,718 Boxster,car,2017
GASOLINE,5,12,10,Grayson,GA,1295660,175,Mercedes-Benz,S-Class,car,2015
GASOLINE,5,2,2,Atlanta,GA,12796797,200,BMW,7 Series,car,2018
GASOLINE,4.93,18,14,Atlanta,GA,53029,98,Mercedes-benz,C-Class,car,2019
GASOLINE,,0,0,Tampa,FL,14752326,96,BMW,4 Series,car,2018
GASOLINE,4.89,94,80,Atlanta,GA,511103,150,Porsche,Panamera,car,2011
